name,Creature Level,Source,Perception,Senses,Rarity,Alignment,Size,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Trait 7,Language 1,Language 2,Language 3,Language 4,Language 5,Language 6,Language 7,Language 8,Language 9,Language 10,Language 11,Language 12,Language 13,Language 14,Language 15,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Acrobatics,Arcana,Athletics,Crafting,Deception,Diplomacy,Intimidation,Medicine,Nature,Occultism,Performance,Religion,Society,Stealth,Survival,Thievery,HP,AC,Fort,Ref,Will,Immunities,Resistances,Weaknesses,Speed,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Attack 7,Spells 1,Spells 2,Spells 3,Reaction 1,Reaction 2,Reaction 3
PLEROMA,20,Bestiary,37,"Darkvision, Lifesense 120 feet, true seeing",Common,Neutral,Large,Aeon,Monitor,,,,,,envisioning,,,,,,,,,,,,,,,6,7,6,8,9,6,33,38,,,34,34,,,,38,,39,,35,,,335,45,32,31,37,"negative, positive",,chaotic 20,fly 40 feet; freedom of movement,"Melee energy touch (agile, lawful, magical) +36, Damage 5d8+18 positive or negative damage plus 1d6 lawful","Ranged Sphere of Oblivion +37 (magical), Effect see Sphere of Oblivion",,,,,,"Divine Innate Spells DC 47, attack +37; 10th alter reality; 9th banishment, blade barrier, disjunction, overwhelming presence; 8th disintegrate (c3972), unrelenting observation; 7th plane shift, retrocognition; 5th creation (at will); 4th create food (at will), shape stone (at will); 3rd hypercognition (at will); 2nd detect alignment (at will), shape wood (at will); 1st create water (at will); Constant (8th) true seeing; (4th) freedom of movement",,,Reality Twist Trigger The pleroma critically fails the saving throw. Effect The critical failure becomes a normal failure.,,
SILVANSHEE (CAT AGATHION),1,Bestiary 3,8,Darkvision,Common,Neutral Good,Tiny,Agathion,Celestial,,,,,,Celestial,Common,Draconic,Infernal; speak with animals,,,,,,,,,,,,-2,4,2,0,3,2,7,3,,,,,,6,,,,,,7,,,20,17,5,9,6,,,evil 3,"25 feet, fly 40 feet","Melee jaws +9 (finesse, good, magical), Damage 1d-2 piercing plus 1d4 good","Melee claw +9 (agile, finesse, good, magical), Damage 1d-2 slashing plus 1d4 good",,,,,,"Divine Innate Spells DC 16; 4th gaseous form (c3973), read omens; Cantrips (1st) dancing lights, know direction, prestidigitation, stabilize; Constant (2nd) speak with animals",,,,,
VULPINAL (FOX AGATHION),6,Bestiary 3,15,Darkvision,Common,Neutral Good,Small,Agathion,Celestial,,,,,,Celestial,Common,Draconic,Infernal; speak with animals,tongues,,,,,,,,,,,2,4,4,5,3,6,12,15,,,14,,,11,,,16,13,13,12,,,105,24,12,14,15,,,evil 5,30 feet,"Melee jaws +15 (finesse, good, magical), Damage 2d10+4 piercing plus 1d6 good","Melee claw +15 (agile, finesse, good, magical), Damage 2d6+4 slashing plus 1d6 good",,,,,,"Divine Innate Spells DC 24; 4th dimension door, divine wrath; 3rd calm emotions, remove disease; 2nd detect alignment (at will, evil only), invisibility (at will, self only); Constant (5th) speak with animals, tongues",,,,,
PROCYAL (RACCOON AGATHION),8,Bestiary 3,18,Darkvision,Common,Neutral Good,Medium,Agathion,Celestial,,,,,,Celestial,Common,Draconic,Halfling,Infernal; speak with animals,tongues,,,,,,,,,,4,4,6,5,6,4,14,,,,18,16,,16,16,,,16,17,16,16,14,170,26,16,14,18,,,evil 10,25 feet,"Melee claw +18 (agile, good, magical) Damage 2d8+10 plus 1d6 good","Melee shortsword +19 (agile, finesse, good, magical, versatile S), Damage 2d6+10 plus 1d6 good",,,,,,"Divine Innate Spells DC 26, attack +18; 4th calm emotions, charm, dimension door, dispel magic, illusory creature, magic aura (at will), suggestion (at will); 3rd heroism; 2nd invisibility; Constant (5th) speak with animals, tongues",,,,,
DRACONAL (DRAGON AGATHION),20,Bestiary 3,36,true seeing,Common,Neutral Good,Large,Agathion,Celestial,,,,,,Celestial,Draconic,Infernal; speak with animals,tongues,,,,,,,,,,,,10,5,8,8,10,9,,38,,30,35,37,35,34,34,,,36,32,,32,,370,45,34,31,38,,fire 15,evil 15,"30 feet, fly 90 feet","Melee jaws +38 (good, magical, reach 15 feet), Damage 3d12+18 piercing plus 1d6 good plus 4d6 fire","Melee claw +38 (agile, good, magical, reach 10 feet), Damage 3d8+18 slashing plus 1d6 good plus 4d6 fire",,,,,,"Divine Innate Spells DC 46, attack +38; 10th miracle; 9th breath of life, dispel magic, divine decree, earthquake, heal (c3973), implosion, storm of vengeance; Constant (7th) circle of protection, speak with animals, tongues, true seeing",,,"Dragones Salvation Trigger A creature within the draconales reach would take damage; Effect Before applying the damage, the draconal casts lay on hands on the triggering creature.",,
YOUNG AHUIZOTL,4,#2-14: Lost in Flames,10,Darkvision,Uncommon,Neutral Evil,Large,Amphibious,Beast,,,,,,Aklo,Common,,,,,,,,,,,,,,5,3,5,-1,3,3,,,12,,12,,,,,,,,,12,,,68,20,14,10,10,,,,"25 feet, swim 35 feet","Melee jaws +14, Damage 2d8+4 piercing","Melee claw +17 (agile), Damage 2d6+4 slashing","Melee tail claw +17 (agile, reach 10 feet), Damage 2d4+4 slashing plus Improved Grab",,,,,,,,,,
AHUIZOTL,6,Bestiary 2,13,Darkvision,Uncommon,Neutral Evil,Large,Amphibious,Beast,,,,,,Aklo,Common,,,,,,,,,,,,,,5,3,5,-1,3,3,,,15,,15,,,,,,,,,15,,,105,23,17,13,13,,,,"25 feet, swim 35 feet","Melee jaws +17, Damage 2d8+8 piercing","Melee claw +17 (agile), Damage 2d6+8 slashing","Melee tail claw +17 (agile, reach 10 feet), Damage 2d4+8 slashing plus Improved Grab",,,,,,,,,,
AIUDARA WRAITH,18,Age of Ashes - 06 - Broken Promises,33,"Darkvision, Lifesense 60 feet",Rare,Neutral Evil,Medium,Astral,Incorporeal,Undead,Wraith,,,,Common,Elven,Necril,,,,,,,,,,,,,-5,9,5,0,7,8,35,31,,,,,,,,,,,,35,,,300,45,33,37,33,"death effects, disease, paralyzed, poison, precision, unconscious","all damage 15 (except force, ghost touch, or positive; double resistance vs. non-magical)",,fly 60 feet; instantaneous movement,"Melee spectral hand +35 (agile, finesse, magical), Damage 4d10+16 force plus dimensional shunt and drain life",,,,,,,,,,"Teleportation Attachment (conjuration, teleportation) Trigger A creature within 60 feet uses a teleportation effect; Effect The aiudara wraith teleports with the creature, arriving in an empty space of its choice adjacent to the triggering creaturees destination. If the triggering effect targets multiple creatures, the aiudara wraith chooses which creature it arrives beside.",,
AKATA,1,Bestiary 2,6,"Darkvision, no hearing, Scent (imprecise) 30 feet",Rare,Neutral,Medium,Aberration,,,,,,,,,,,,,,,,,,,,,,4,2,4,-4,3,0,7,,7,,,,,,,,,,,7,,,15,16,9,5,6,disease,"fire 5, poison 5",salt water 5,"30 feet, climb 15 feet","Melee jaws +9 (agile), Damage 1d6+4 piercing plus void death",,,,,,,,,,,,
SKUM (ULAT-KINI),2,Bestiary,6,Darkvision,Common,Lawful Evil,Medium,Amphibious,Humanoid,,,,,,Alghollthu,Undercommon,,,,,,,,,,,,,,4,1,3,0,0,-2,,,8,,,,4,,,,,,,7,,,40,16,7,7,4,,cold 5,,"20 feet, swim 40 feet","Melee trident +10, Damage 1d8+4 piercing","Melee claw +10 (agile), Damage 1d6+4 slashing","Melee fangs +10, Damage 2d4+4 piercing","Ranged trident +7 (thrown 20 feet), Damage 1d8+3 piercing","You can throw this weapon as a ranged attack, and it is a ranged weapon when thrown. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment. Ranged weapons with this trait use the range increment specified in the weapones Range entry.",,,,,,,,
FACELESS STALKER (UGOTHOL),4,Bestiary,10,Darkvision,Common,Chaotic Evil,Medium,Aberration,,,,,,,Alghollthu,Aquan,Common; tongues,,,,,,,,,,,,,4,3,3,0,2,3,12,,12,,13,,,,,,,,,13,,9,60,21,9,9,12,,bludgeoning 5,,25 feet,"Melee longsword +14 (versatile P), Damage 1d8+6 slashing","Melee claw +12 (agile), Damage 2d6+6 slashing plus Grab","You can throw this weapon as a ranged attack, and it is a ranged weapon when thrown. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment. Ranged weapons with this trait use the range increment specified in the weapones Range entry.",,,,,Occult Innate Spells DC 19; Constant (5th) tongues,,,,,
ALGHOLLTHU MASTER (ABOLETH),7,Bestiary,17,Darkvision,Uncommon,Lawful Evil,Huge,Aberration,Aquatic,,,,,,Aklo,Alghollthu,Aquan,Common,Undercommon,,,,,,,,,,,5,1,6,3,5,4,,,16,,15,,15,,,16,,,,,,,135,23,15,10,16,,,,"10 feet, swim 60 feet","Melee tentacle +16 (agile, magical, reach 15 feet), Damage 2d8+10 bludgeoning plus slime",,,,,,,"Occult Innate Spells DC 25; 7th project image (at will), veil (at will); 6th dominate (c3973), illusory scene (at will); 5th illusory object (at will); 4th hallucinatory terrain (at will); 3rd hypnotic pattern (at will)",,,,,
VEILED MASTER (VIDILETH),14,Bestiary,25,Darkvision,Rare,Lawful Evil,Large,Aberration,Aquatic,,,,,,Aklo,Alghollthu,Aquan,Common,Undercommon; tongues,,,,,,,,,,,6,6,8,7,5,6,,27,24,,28,,26,,,29,,,27,24,,,270,34,26,22,24,"controlled, electricity, mental",cold 20,,"10 feet, swim 80 feet","Melee claw +30 (agile, magical, reach 20 feet), Damage 3d10+12 slashing plus slime","Melee fangs +28 (agile, magical, reach 10 feet, versatile S), Damage 3d8+12 piercing plus slime and consume memories","Melee tentacle +28 (agile, electricity, magical, reach 20 feet), Damage 7d6 electricity plus thoughtlance",,,,,"Occult Innate Spells DC 37; 9th project image (at will); 8th illusory scene (at will), suggestion (c3973); 7th veil (at will); 6th dominate (c3973); 5th dimension door (c3973), hallucinatory terrain (at will), illusory object (at will); 3rd hypnotic pattern (at will), levitate (at will), mind reading (at will), secret page (at will); Constant (5th) tongues",,,,,
ALUUM ENFORCER,10,Age of Ashes - 05 - Against the Scarlet Triad,17,Darkvision,Uncommon,Neutral,Large,Construct,Mindless,,,,,,,,,,,,,,,,,,,,,7,2,5,-5,1,-5,,,23,,,,,,,,,,,,,,145,30,21,18,15,"bleed, disease, death effects, doomed, drained, fatigued, magic (see below), mental, nonlethal attacks, paralyzed, poison, sickened, unconscious",10 physical (except adamantine),,25 feet,"Melee fist +23 (magical), Damage 2d10+13 bludgeoning plus paralyzing force",,,,,,,,,,"Attack of Opportunity Trigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,
SPIRITBOUND ALUUM,16,Age of Ashes - 05 - Against the Scarlet Triad,28,Darkvision,Rare,Neutral,Large,Construct,Mindless,Soulbound,,,,,,,,,,,,,,,,,,,,9,3,6,-5,4,-2,,,33,,,,,,,,,,,,,,255,39,30,25,28,as aluum enforcer,,,"25 feet, fly 25 feet","Melee fist +33 (magical), Damage 3d10+17 bludgeoning plus paralyzing force",,,,,,,Arcane Innate Spells DC 38; 9th bind soul (c3973); 5th locate,,,"Attack of Opportunity Trigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,
AMALGAMITE,13,Bestiary 3,23,Low-Light Vision,Rare,Uncommon,Neutral Evil,Medium,Aberration,,,,,,Aklo,Common,Draconic,,,,,,,,,,,,,5,6,4,8,6,-1,,27,22,,,,,,,27,,,,,,,220,33,22,22,26,"controlled, mental","bludgeoning 10, slashing 10",piercing 10,25 feet,"Melee limb +24, Damage 3d10+11 bludgeoning","Ranged warping ray +27 (deadly 2d8, magical, range 100 feet), Damage 3d8+8 force",,,,,,"Occult Innate Spells DC 33; 7th ethereal jaunt, warp mind; 4th blink (c3972)",,,"Displace Trigger The amalgamite is hit by a Strike; Effect The amalgamite Repositions itself or Transposes itself with another creature. If the amalgamite successfully changes its location, it and any Transposed creature take half damage from the triggering Strike.",,
NEFRETHUT,18,Extinction Curse - 05 - Lord of the Black Sands,33,"Darkvision, Scent (imprecise) 30 feet, true seeing",Rare,Neutral Evil,Huge,Fiend,,,,,,,Celestial,Infernal; telepathy 100 feet,,,,,,,,,,,,,,8,7,9,3,6,7,,,34,,,,33,,,29,,32,,35,,,350,41,35,27,28,evil,"fire 20, poison 20",good 20,"50 feet, burrow 30 feet","Melee claw +32 (agile, reach 10 feet), Damage 3d8+16 slashing plus wasting wound","Melee foot +30 (deadly d10), Damage 4d8+12 plus stunned 1 (DC 38 Fortitude negates)","Melee jaws +32 (reach 15 feet), Damage 3d12+16 piercing plus Improved Grab",,,,,"Divine Innate Spells DC 37; 6th dominate; Constant (6th) detect alignment (evil only), true seeing",,,,,
AMMUT,18,Extinction Curse - 05 - Lord of the Black Sands,33,"Darkvision, Scent (imprecise) 30 feet, true seeing",Rare,Neutral Evil,Huge,Fiend,,,,,,,Celestial,Infernal; telepathy 100 feet,,,,,,,,,,,,,,8,7,9,3,6,7,,,34,,,,33,,,29,,32,,35,,,350,41,35,27,28,evil,"fire 20, poison 20",good 20,"50 feet, burrow 30 feet","Melee claw +32 (agile, reach 10 feet), Damage 3d8+16 slashing plus wasting wound","Melee foot +30 (deadly d10), Damage 4d8+12 plus stunned 1 (DC 38 Fortitude negates)","Melee jaws +32 (reach 15 feet), Damage 3d12+16 piercing plus Improved Grab",,,,,"Divine Innate Spells DC 37; 6th dominate; Constant (6th) detect alignment (evil only), true seeing",,,,,
AMPHISBAENA,4,Bestiary 3,10,Tremorsense 60 feet (page 306),Common,Neutral,Medium,Animal,,,,,,,,,,,,,,,,,,,,,,5,4,2,-4,0,-4,10,,13,,,,,,,,,,,12,,,70,21,10,14,8,petrified,,,"25 feet, climb 25 feet, swim 25 feet","Melee fangs +13, Damage 2d6+5 piercing plus amphisbaena venom","Ranged spit +12 (range increment 15 feet), Damage 1d6 poison plus amphisbaena venom and blinding spittle",,,,,,,,,,,
ANADI HUNTER,2,Age of Ashes - 01 - Hellknight Hill,7,,Uncommon,Chaotic Good,Medium,Anadi,Humanoid,,,,,,Anadi,Common,,,,,,,,,,,,,,2,4,2,0,1,0,8,,6,6,,,,,5,,,,,8,,,27,19,6,10,7,,,,"25 feet, climb 25 feet","Melee shortsword +10 (agile, finesse, versatile S), Damage 1d6+2 piercing","Melee fangs +10 (finesse), Damage 1d8+2 piercing plus anadi venom","Ranged composite shortbow +10 (deadly 1d10, propulsive, range increment 60 feet, reload 0), Damage 1d6+1 piercing",,,,,,,,,,
ANADI SAGE,4,Age of Ashes - 01 - Hellknight Hill,12,,Uncommon,Chaotic Good,Medium,Anadi,Humanoid,,,,,,Anadi,Common,,,,,,,,,,,,,,0,2,0,1,4,2,,,6,9,8,10,,,12,,,,,,10,,58,21,8,10,12,,,,"25 feet, climb 25 feet","Melee shortsword +12 (agile, finesse, versatile S), Damage 1d6+3 piercing","Melee fangs +12 (finesse), Damage 2d6+3 piercing plus anadi venom",,,,,,"Arcane Innate Spells DC 22; 2nd blur, illusory creature; 1st color spray, illusory disguise, illusory object; Cantrips (2nd) detect magic, ghost sound, mage hand, message",,,,,
ANADI ELDER,6,Age of Ashes - 01 - Hellknight Hill,15,,Uncommon,Chaotic Good,Medium,Anadi,Humanoid,,,,,,Anadi,Common,,,,,,,,,,,,,,2,4,0,1,4,2,,,12,13,12,10,,,14,,,,9,,12,,95,23,10,14,16,,,,"25 feet, climb 25 feet","Melee shortsword +16 (agile, finesse, versatile S), Damage 1d6+5 piercing","Melee fangs +16 (finesse), Damage 2d6+5 piercing plus anadi venom","Ranged composite longbow +16 (deadly 1d10, propulsive, range increment 100 feet, reload 0, volley 30 feet), Damage 1d8+1 piercing",,,,,"Arcane Innate Spells DC 25, attack +17; 3rd hypnotic pattern, invisibility sphere; 2nd blur, invisibility, mirror image; 1st color spray, illusory disguise, illusory object; Cantrips (3rd) detect magic, electric arc, ghost sound, mage hand, message",,,,,
ANDROID INFILTRATOR,2,Bestiary 3,6,Low-Light Vision,Rare,Neutral,Medium,Android,Humanoid,,,,,,Androffan,Common,,,,,,,,,,,,,,2,4,2,3,0,-1,8,,6,7,3,,,,,,,,7,10,,8,28,18,8,10,4,,,,25 feet,"Melee shortsword +10 (agile, finesse, versatile S), Damage 1d6+2 piercing","Melee fist +10 (agile, finesse, nonlethal), Damage 1d4+2 bludgeoning","Ranged hand crossbow +10 (range increment 60 feet, reload 1), Damage 1d6 piercing","You can throw this weapon as a ranged attack, and it is a ranged weapon when thrown. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment. Ranged weapons with this trait use the range increment specified in the weapones Range entry.",,,,,,,"Nanite Surge Trigger The android infiltrator attempts a skill check but hasnet rolled yet; Effect The android infiltrator stimulates their nanites, forcing their body to temporarily increase its efficiency. They gain a +2 status bonus to the triggering skill check. In addition, their circuitry glows, creating a 10-foot emanation with dim light for 1 round.",,
ANGAZHANI,8,Bestiary 3,18,Darkvision,Common,Chaotic Evil,Large,Beast,,,,,,,Abyssal,Common,Mwangi,,,,,,,,,,,,,6,4,5,-1,4,3,,,20,,,,15,,,,,16,,,16,,180,26,19,16,14,,,,"25 feet, climb 25 feet","Melee fist +20 (reach 10 feet), Damage 2d8+9 bludgeoning","Melee jaws +20, Damage 2d12+9 piercing",,,,,,Divine Innate Spells DC 24; 6th dominate; 3rd fear (c3972),,,Defensive Disarm Trigger A creature makes a melee weapon Strike against the angazhani and misses; Requirements The angazhani is benefiting from their Defensive Slam; Effect The angazhani attempts to Disarm the attacker of the triggering weapon.,,
