Name,Type,Level,Traits,Tradition,Deities,Bloodlines,Casting Time,Components,Range,Target,Area,Duration,Saving Throw,Spell Attack,Effect,Critical Success,Success,Failure,Critical Failure,Heightening,Heal,Damage,Counteract,Conditions,Source,Nethys Link
Forbidding Ward,Cantrip,1,"Abjuration,Cantrip","divine,occult",,,Two Actions,"somatic,verbal",30 feet,1 ally and 1 enemy,None,sustained up to 1 minute,None,FALSE,"You ward an ally against the attacks and hostile spells from the target enemy. The target ally gains a +1 status bonus to Armor Class and saving throws against the target enemys attacks, spells, and other effects.",None,None,None,None,Heightened (6th) The status bonus increases to +2,FALSE,FALSE,FALSE,Hostile,Core Rulebook pg. 339,http://2e.aonprd.com/Spells.aspx?ID=126
Gale Blast,Cantrip,1,"Air,Cantrip,Evocation","arcane,primal",,,Two Actions,"somatic,verbal",None,None,None,None,Fortitude,FALSE,"Wind flows from your outstretched hands and whirls around you in a 5-foot emanation. Each creature in the area takes bludgeoning damage equal to your spellcasting ability modifier, with a Fortitude save.",The creature is unaffected.,The creature takes half damage.,"The creature takes full damage and is <a style=""text-decoration:underline"" href=""Rules.aspx?ID=451"">pushed</a> 5 feet away from you.",The creature takes double damage and is pushed 10 feet away from you.,Heightened (+2) The damage increases by 1d6,FALSE,TRUE,FALSE,,Secrets of Magic pg. 108,http://2e.aonprd.com/Spells.aspx?ID=917
Ghost Sound,Cantrip,1,"Auditory,Cantrip,Illusion","arcane,occult",,fey,Two Actions,"somatic,verbal",30 feet,None,None,sustained,None,FALSE,You create an auditory illusion of simple sounds that has a maximum volume equal to four normal humans shouting. The sounds emanate from a square you designate within range. You cant create intelligible words or other intricate sounds (such as music).,None,None,None,None,"Heightened (3rd) The range increases to 60 feet,Heightened (5th) The range increases to 120 feet",FALSE,FALSE,FALSE,,Core Rulebook pg. 340,http://2e.aonprd.com/Spells.aspx?ID=132
Gouging Claw,Cantrip,1,"Attack,Cantrip,Morph,Transmutation","arcane,primal",,,Two Actions,"somatic,verbal",touch,1 creature,None,None,None,TRUE,"You temporarily morph your limb into a clawed appendage. Make a melee spell attack roll against your targets AC. If you hit, you deal your choice of slashing or piercing damage equal to 1d6 plus your spellcasting ability modifier. On a critical success, you deal double damage plus 1d4 persistent bleed damage.",None,None,None,None,Heightened (+1) The damage increases by 1d6 and the persistent bleed damage on a critical increases by 1d4,FALSE,TRUE,FALSE,,Secrets of Magic pg. 109,http://2e.aonprd.com/Spells.aspx?ID=920
Guidance,Cantrip,1,"Cantrip,Divination","divine,occult,primal",,,Single Action,verbal,30 feet,1 creature,None,until the start of your next turn,None,FALSE,"You ask for divine guidance, granting the target a +1 status bonus to one attack roll, Perception check, saving throw, or skill check the target attempts before the duration ends. The target chooses which roll to use the bonus on before rolling. If the target uses the bonus, the spell ends. Either way, the target is then temporarily immune for 1 hour.",None,None,None,None,,FALSE,FALSE,FALSE,,Core Rulebook pg. 342,http://2e.aonprd.com/Spells.aspx?ID=142
Haunting Hymn,Cantrip,1,"Auditory,Cantrip,Evocation,Sonic","divine,occult",,,Two Actions,"somatic,verbal",None,None,15-foot cone,None,Fortitude,FALSE,"You echo a jarring hymn that only creatures in the area can hear. The hymn deals sonic damage equal to your spellcasting ability modifier, with a basic Fortitude save. If a target critically fails the save, its also deafened for 1 minute.",None,None,None,None,Heightened (+2) The damage increases by 1d6,FALSE,TRUE,FALSE,Deafened,Secrets of Magic pg. 109,http://2e.aonprd.com/Spells.aspx?ID=924
Healing Plaster,Cantrip,1,"Cantrip,Earth,Transmutation",primal,,,Single Action,somatic,5 feet,a handful of dirt or mud,None,10 minutes,None,FALSE,"You purify some dirt or mud into a pliable, claylike plaster that can aid in clotting and healing. This restorative substance can be used in lieu of healers tools for Medicine checks to Administer First Aid or Treat Wounds. If the plaster isnt used within the spells duration, or if you Cast the Spell again before using the plaster, it reverts to being normal non-magical earth.",None,None,None,None,Heightened (3rd) The plaster grants anyone using it to Administer First Aid or Treat Wounds a +1 item bonus to the Medicine check,FALSE,FALSE,FALSE,,Secrets of Magic pg. 109,http://2e.aonprd.com/Spells.aspx?ID=925
Infectious Enthusiasm,Cantrip,1,"Cantrip,Emotion,Enchantment,Mental","arcane,occult",,,Two Actions,"somatic,verbal",None,None,None,1 round,Will,FALSE,"With enchanted gusto, you encourage yourself to get things done and share your motivation with your allies. You gain a +1 status bonus to your choice of attack rolls, Will saves, or Charisma-based skill checks. During the spells duration, an ally who observed you Casting this Spell and was within 30 feet when you did so can take a single action, which has the concentrate trait, to gain the same bonus you chose until the start of its next turn. Using this spell to influence someone in a social situation is typically considered a faux pas, negating the benefit on Charisma-based skills if the subject of the check observed you casting the spell.",None,None,None,None,,FALSE,FALSE,FALSE,Observed,Secrets of Magic pg. 112,http://2e.aonprd.com/Spells.aspx?ID=932
Invoke True Name,Cantrip,1,"Rare,Cantrip,Enchantment,True Name","arcane,divine,occult,primal",,,Single Action,verbal,30 feet,1 creature whose true name you know,None,None,None,FALSE,"You speak the true name of a creature to more surely affect it with your magic. Until the end of the current turn, the target is flat-footed against your spells and takes a -2 circumstance penalty to saving throws against your spells. In addition, the first time this turn the target takes damage from one of your spells, it has weakness to that damage equal to double the level of invoke true name.",None,None,None,None,,FALSE,TRUE,FALSE,,Secrets of Magic pg. 247,http://2e.aonprd.com/Spells.aspx?ID=1065
Join Pasts,Cantrip,1,"Uncommon,Cantrip,Divination,Mental",occult,,,Single Action,somatic,touch,2 willing creatures,None,1 round,None,FALSE,"With touches to the targets' foreheads, you bring them into mental communion. The targets can share thoughts and experiences, but not words. When one target attempts to Recall Knowledge, the other can Aid the first target's skill check, using any Lore skill (even if that Lore wouldn't normally apply) without having made any preparations to Aid.",None,None,None,None,"Heightened (+1) You can touch one additional target to include them in the spell's effects, Multiple targets can attempt checks to Aid the target who is attempting to Recall Knowledge",FALSE,FALSE,FALSE,,Pathfinder #147: Tomorrow Must Burn pg. 74,http://2e.aonprd.com/Spells.aspx?ID=552
Know Direction,Cantrip,1,"Cantrip,Detection,Divination","divine,occult,primal",,,Two Actions,"somatic,verbal",None,None,None,None,None,FALSE,"In your minds eye, you see a path northward. You immediately know which direction is north (if it exists at your current location).",None,None,None,None,"Heightened (7th) You can instead know the direction to a familiar location, such as a previous home or a favorite tavern",FALSE,FALSE,FALSE,,Core Rulebook pg. 348,http://2e.aonprd.com/Spells.aspx?ID=169
Light,Cantrip,1,"Cantrip,Evocation,Light","arcane,divine,occult,primal",,angelic,Two Actions,"somatic,verbal",touch,"1 object of 1 Bulk or less, either unattended or possessed by you or a willing ally",None,until the next time you make your daily preparations,None,FALSE,"The object glows, casting bright light in a 20-foot radius (and dim light for the next 20 feet) like a torch. If you cast this spell again on a second object, the light spell on the first object ends.",None,None,None,None,Heightened (4th) The object sheds bright light in a 60-foot radius (and dim light for the next 60 feet),FALSE,FALSE,FALSE,,Core Rulebook pg. 348,http://2e.aonprd.com/Spells.aspx?ID=171
Mage Hand,Cantrip,1,"Cantrip,Evocation","arcane,occult",,,Two Actions,"somatic,verbal",30 feet,1 unattended object of light Bulk or less,None,sustained,None,FALSE,"You create a single magical hand, either invisible or ghostlike, that grasps the target object and moves it slowly up to 20 feet. Because youre levitating the object, you can move it in any direction. When you Sustain the Spell, you can move the object an additional 20 feet. If the object is in the air when the spell ends, the object falls.",None,None,None,None,"Heightened (3rd) You can target an unattended object with a Bulk of 1 or less,Heightened (5th) The range increases to 60 feet, and you can target an unattended object with a Bulk of 1 or less,Heightened (7th) The range increases to 60 feet, and you can target an unattended object with a Bulk of 2 or less",FALSE,FALSE,FALSE,Invisible,Core Rulebook pg. 349,http://2e.aonprd.com/Spells.aspx?ID=177
Message,Cantrip,1,"Auditory,Cantrip,Illusion,Linguistic,Mental","arcane,divine,occult",,,Single Action,verbal,120 feet,1 creature,None,see below,None,FALSE,"You mouth words quietly, but instead of coming out of your mouth, theyre transferred directly to the ears of the target. While others cant hear your words any better than if you normally mouthed them, the target can hear your words as if they were standing next to you. The target can give a brief response as a reaction, or as a free action on their next turn if they wish, but they must be able to see you and be within range to do so. If they respond, their response is delivered directly to your ear, just like the original message.",None,None,None,None,Heightened (3rd) The spells range increases to 500 feet,FALSE,FALSE,FALSE,,Core Rulebook pg. 351,http://2e.aonprd.com/Spells.aspx?ID=190
Prestidigitation,Cantrip,1,"Cantrip,Evocation","arcane,divine,occult,primal",,,Two Actions,"somatic,verbal",10 feet,"1 object (cook, lift, or tidy only)",None,sustained,None,FALSE,"The simplest magic does your bidding. You can perform simple magical effects for as long as you Sustain the Spell. Each time you Sustain the Spell, you can choose one of four options. Cook Cool, warm, or flavor 1 pound of nonliving material. Lift Slowly lift an unattended object of light Bulk or less 1 foot off the ground. Make Create a temporary object of negligible Bulk, made of congealed magical substance. The object looks crude and artificial and is extremely fragile--it cant be used as a tool, weapon, or spell component. Tidy Color, clean, or soil an object of light Bulk or less. You can affect an object of 1 Bulk with 10 rounds of concentration, and a larger object a 1 minute per Bulk. Prestidigitation cant deal damage or cause adverse conditions. Any actual change to an object (beyond what is noted above) persists only as long as you Sustain the Spell.",None,None,None,None,,FALSE,TRUE,FALSE,,Core Rulebook pg. 359,http://2e.aonprd.com/Spells.aspx?ID=229
Produce Flame,Cantrip,1,"Attack,Cantrip,Evocation,Fire","arcane,primal",,"diabolic,elemental",Two Actions,"somatic,verbal",30 feet,1 creature,None,None,None,TRUE,"A small ball of flame appears in the palm of your hand, and you lash out with it either in melee or at range. Make a spell attack roll against your targets AC. This is normally a ranged attack, but you can also make a melee attack against a creature in your unarmed reach. On a success, you deal 1d4 fire damage plus your spellcasting ability modifier. On a critical success, the target takes double damage and 1d4 persistent fire damage.",None,None,None,None,Heightened (+1) Increase the damage by 1d4 and the persistent damage on a critical hit by 1d4,FALSE,TRUE,FALSE,,Core Rulebook pg. 360,http://2e.aonprd.com/Spells.aspx?ID=236
Protect Companion,Cantrip,1,"Abjuration,Cantrip","arcane,divine,occult,primal",,,Single Action,verbal,30 feet,"your eidolon, or a creature with the minion trait under your control",None,until the start of your next turn,None,FALSE,"You extend your aura, as a magical shield that protects your eidolon or minion. The target gains a +1 circumstance bonus to AC until the start of your next turn. You gain the following reaction; after using the reaction, the spell ends and you cant cast protect companion again for 10 minutes. Life Block Trigger The spells target would take damage; Effect Reduce the triggering damage by 10, but you lose 5 Hit Points. Even if this reduces the damage to 0, the target still takes any effects that would come with the damage, such as the poison on a vipers fangs Strike.",None,None,None,None,"Heightened (+2) The reaction reduces the damage by another 10, and you lose 5 more Hit Points, If you want to lose fewer Hit Points, you can choose to lower the damage reduction and HP lost to what any lower-level version of the spell could do without lowering the spells actual level",FALSE,TRUE,FALSE,,Secrets of Magic pg. 123,http://2e.aonprd.com/Spells.aspx?ID=975
Puff of Poison,Cantrip,1,"Cantrip,Evocation,Inhaled,Poison","arcane,primal",,,Two Actions,"somatic,verbal",5 feet,1 creature,None,None,Fortitude,FALSE,"You exhale a shimmering cloud of toxic breath at an enemys face. The target takes poison damage equal to your spellcasting modifier and 2 persistent poison damage, depending on its Fortitude save.",The creature is unaffected.,The target takes half initial and persistent damage.,The target takes full initial and persistent damage.,The target takes double initial and persistent damage.,Heightened (+2) The initial poison damage increases by 1d8 and the persistent poison damage increases by 1,FALSE,TRUE,FALSE,,Secrets of Magic pg. 124,http://2e.aonprd.com/Spells.aspx?ID=977
Ray of Frost,Cantrip,1,"Attack,Cantrip,Cold,Evocation","arcane,primal",,,Two Actions,"somatic,verbal",120 feet,1 creature,None,None,None,TRUE,You blast an icy ray. Make a spell attack roll. The ray deals cold damage equal to 1d4 + your spellcasting ability modifier.,The target takes double damage and takes a -10-foot status penalty to its Speeds for 1 round.,The target takes normal damage.,None,None,Heightened (+1) The damage increases by 1d4,FALSE,TRUE,FALSE,,Core Rulebook pg. 362,http://2e.aonprd.com/Spells.aspx?ID=245
Read Aura,Cantrip,1,"Cantrip,Detection,Divination","arcane,divine,occult,primal",,wyrmblessed,1 minute,"somatic,verbal",30 feet,1 object,None,None,None,FALSE,"You focus on the target object, opening your mind to perceive magical auras. When the casting is complete, you know whether that item is magical, and if it is, you learn the school of magic. If the object is illusory, you detect this only if the effects level is lower than the level of your read aura spell.",None,None,None,None,"Heightened (3rd) You can target up to 10 objects,Heightened (6th) You can target any number of objects",FALSE,FALSE,FALSE,,Core Rulebook pg. 362,http://2e.aonprd.com/Spells.aspx?ID=246
Read the Air,Cantrip,1,"Cantrip,Divination","divine,occult",,,Two Actions,"somatic,verbal",None,None,None,1 minute,None,FALSE,"You take a deep breath as you survey a social situation, showing courtesy to all around you as your intuition swiftly picks up clues about social contexts and unspoken assumptions of behavior. Your body language subconsciously changes to take advantage of this information and use it in your own interactions with those creatures. As part of Casting this Spell, you Recall Knowledge using Society to gain information about the immediate social situation. You also gain a +1 status bonus on your next Diplomacy check to Make an Impression on those creatures present when you cast this spell, as long as the check occurs during the duration of the spell. You can read the air only once in a given social situation; casting it again has no effect.",None,None,None,None,,FALSE,FALSE,FALSE,,Secrets of Magic pg. 125,http://2e.aonprd.com/Spells.aspx?ID=981
Scatter Scree,Cantrip,1,"Cantrip,Earth,Evocation","arcane,primal",,,Two Actions,"somatic,verbal",30 feet,None,two contiguous 5-foot cubes,1 minute,basic Reflex,FALSE,"You evoke a jumble of rocks in the area. The scattering rocks deal bludgeoning damage equal to 1d4 plus your spellcasting ability modifier to creatures in the area, with a basic Reflex save. The ground in the area becomes difficult terrain for the duration. A creature can Interact to clear a square of this scree. If you cast this spell again, any previous scatter scree you have cast ends.",None,None,None,None,Heightened (+1) The damage increases by 1d4,FALSE,TRUE,FALSE,,Secrets of Magic pg. 127,http://2e.aonprd.com/Spells.aspx?ID=990
Shield,Cantrip,1,"Abjuration,Cantrip,Force","arcane,divine,occult",,draconic,Single Action,verbal,None,None,None,until the start of your next turn,None,FALSE,"You raise a magical shield of force. This counts as using the Raise a Shield action, giving you a +1 circumstance bonus to AC until the start of your next turn, but it doesnt require a hand to use. While the spell is in effect, you can use the Shield Block reaction with your magic shield. The shield has Hardness 5. After you use Shield Block, the spell ends and you cant cast it again for 10 minutes. Unlike a normal Shield Block, you can use the spells reaction against the magic missile spell. Heightening the spell increases the shields Hardness.",None,None,None,None,"Heightened (3rd) The shield has Hardness 10,Heightened (5th) The shield has Hardness 15,Heightened (7th) The shield has Hardness 20,Heightened (9th) The shield has Hardness 25",FALSE,FALSE,FALSE,,Core Rulebook pg. 368,http://2e.aonprd.com/Spells.aspx?ID=280
Sigil,Cantrip,1,"Cantrip,Transmutation","arcane,divine,occult,primal",,,Two Actions,"somatic,verbal",touch,1 creature or object,None,unlimited (see below),None,FALSE,"You harmlessly place your unique magical sigil, which is about 1 square inch in size, on the targeted creature or object. The mark can be visible or invisible, and you can change it from one state to another by using an Interact action to touch the target. The mark can be scrubbed or scraped off with 5 minutes of work. If its on a creature, it fades naturally over the course of a week. The time before the mark fades increases depending on your heightened level.",None,None,None,None,"Heightened (3rd) The sigil instead fades after 1 month,Heightened (5th) The sigil instead fades after 1 year,Heightened (7th) The sigil never fades",FALSE,FALSE,FALSE,Invisible,Core Rulebook pg. 369,http://2e.aonprd.com/Spells.aspx?ID=286
Spout,Cantrip,1,"Cantrip,Evocation,Water","arcane,primal",,,Two Actions,"somatic,verbal",30 feet,None,a 5-foot cube,None,Reflex,FALSE,"Water blasts upward, coming out of the ground, rising from a pool, or even manifesting from thin air. Any creatures in the area take bludgeoning damage equal to 1d4 plus your spellcasting ability modifier, with a basic Reflex saving throw. You can change this spells area to a 5-foot burst, provided you center the burst in a body of water. This body of water can be as small as a pond or creek, but not as small as a puddle or bathtub.",None,None,None,None,Heightened (+1) The damage increases by 1d4,FALSE,TRUE,FALSE,,Secrets of Magic pg. 130,http://2e.aonprd.com/Spells.aspx?ID=1002
Stabilize,Cantrip,1,"Cantrip,Healing,Necromancy,Positive","divine,primal",,,Two Actions,"somatic,verbal",30 feet,1 dying creature,None,None,None,FALSE,"Positive energy shuts deaths door. The target loses the dying condition, though it remains unconscious at 0 Hit Points.",None,None,None,None,,FALSE,FALSE,FALSE,"Dying,Unconscious",Core Rulebook pg. 373,http://2e.aonprd.com/Spells.aspx?ID=307
Summon Instrument,Cantrip,1,"Cantrip,Conjuration","divine,occult",,,Three Actions,"material,somatic,verbal",None,None,None,1 hour,None,FALSE,"You materialize a handheld musical instrument in your grasp. The instrument is typical for its type, but it plays only for you. The instrument vanishes when the spell ends. If you cast summon instrument again, any instrument you previously summoned disappears.",None,None,None,None,Heightened (5th) The instrument is instead a virtuoso handheld instrument,FALSE,FALSE,FALSE,,Advanced Players Guide pg. 226,http://2e.aonprd.com/Spells.aspx?ID=721
Tame,Cantrip,1,"Auditory,Cantrip,Enchantment,Mental","occult,primal",,,Two Actions,"somatic,verbal",10 feet,1 non-hostile domesticated animal,None,1 minute,Will,FALSE,"As you make comforting sounds and gestures, you approach the target in a friendly manner combining caution and confidence. You improve the targets attitude to you by one step (unfriendly to neutral, neutral to friendly, friendly to helpful) for the duration of the spell unless it succeeds at a Will save. Afterward, the target is temporarily immune for 1 day. This spell works on only domesticated animals; for example, you could use it on guard dogs or stray dogs, but not feral dogs or wolves. If the socialization of the animal is in question, the decision is up to the GM.",None,None,None,None,"Heightened (3rd) The duration becomes 10 minutes,Heightened (6th) The duration becomes 1 hour",FALSE,FALSE,FALSE,"Friendly,Helpful,Unfriendly",Secrets of Magic pg. 135,http://2e.aonprd.com/Spells.aspx?ID=1014
Tanglefoot,Cantrip,1,"Attack,Cantrip,Conjuration,Plant","arcane,primal",,nymph,Two Actions,"somatic,verbal",30 feet,1 creature,None,None,None,FALSE,"A vine covered in sticky sap appears from thin air, flicking from your hand and lashing itself to the target. Attempt a spell attack against the target.",The target gains the immobilized condition and takes a -10-foot circumstance penalty to its Speeds for 1 round. It can attempt to Escape against your spell DC to remove the penalty and the immobilized condition.,The target takes a -10-foot circumstance penalty to its Speeds for 1 round. It can attempt to Escape against your spell DC to remove the penalty.,The target is unaffected.,None,"Heightened (2nd) The effects last for 2 rounds,Heightened (4th) The effects last for 1 minute",FALSE,FALSE,FALSE,,Core Rulebook pg. 377,http://2e.aonprd.com/Spells.aspx?ID=330
Telekinetic Projectile,Cantrip,1,"Attack,Cantrip,Evocation","arcane,occult",,,Two Actions,"somatic,verbal",30 feet,1 creature,None,None,None,TRUE,"You hurl a loose, unattended object that is within range and that has 1 Bulk or less at the target. Make a spell attack roll against the target. If you hit, you deal bludgeoning, piercing, or slashing damage--as appropriate for the object you hurled--equal to 1d6 plus your spellcasting ability modifier. No specific traits or magic properties of the hurled item affect the attack or the damage.",You deal double damage.,You deal full damage.,None,None,Heightened (+1) The damage increases by 1d6,FALSE,TRUE,FALSE,,Core Rulebook pg. 377,http://2e.aonprd.com/Spells.aspx?ID=334
Wash Your Luck,Cantrip,1,"Abjuration,Cantrip,Fortune","divine,occult",,,Two Actions,"somatic,verbal",None,None,None,1 minute,None,FALSE,"Some practitioners argue this spell literally washes your fortunes of all influences, malign or benign, while others claim it simply cleanses your mind of obsessions about luck and destiny. You adjust your garments, change the posture of your chair, fidget with a religious symbol, or make some other innocuous and personally significant action to wash away bad luck. Once during the spells duration, before rolling a check, you can cancel out a misfortune effect on that roll, as normal when a fortune and misfortune effect apply to the same roll. After canceling out the misfortune effect, the spell ends, and you are then temporarily immune to wash your luck for 10 minutes.",None,None,None,None,,FALSE,FALSE,FALSE,,Secrets of Magic pg. 140,http://2e.aonprd.com/Spells.aspx?ID=1031
Acidic Burst,Spell,1,"Acid,Evocation","arcane,primal",Geryon,,Two Actions,"somatic,verbal",None,None,5-foot emanation,None,basic Reflex,FALSE,"You create a shell of acid around yourself that immediately bursts outward, dealing 2d6 acid damage to each creature in the area.",None,None,None,None,Heightened (+1) The damage increases by 2d6,FALSE,TRUE,FALSE,,Gods & Magic pg. 106,http://2e.aonprd.com/Spells.aspx?ID=565
Admonishing Ray,Spell,1,"Attack,Necromancy,Nonlethal","arcane,divine",,,Two Actions,"somatic,verbal",60 feet,1 creature,None,None,None,TRUE,"A ray of energy bludgeons your target into submission without causing lasting harm. When you cast this spell, you choose whether the ray feels like a strong punch or slap. Make a spell attack roll. The ray deals 2d6 bludgeoning damage.",The target takes double damage.,The target takes full damage.,None,None,Heightened (+1) The damage increases by 2d6,FALSE,TRUE,FALSE,,Pathfinder #158: Sixty Feet Under pg. 76,http://2e.aonprd.com/Spells.aspx?ID=820
